




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.12173881 Released 2024-06-17
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Drosophila melanogaster - REFLIST (13821)	upload_1 (101)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101)	35	1	.26	+	3.91	2.27E-01	1.00E00
pigmentation (GO:0043473)	70	2	.51	+	3.91	9.28E-02	1.00E00
response to light stimulus (GO:0009416)	142	4	1.04	+	3.85	2.03E-02	1.00E00
lipid biosynthetic process (GO:0008610)	252	7	1.84	+	3.80	2.47E-03	6.07E-01
proteolysis (GO:0006508)	811	22	5.93	+	3.71	6.85E-08	5.04E-04
isoprenoid metabolic process (GO:0006720)	37	1	.27	+	3.70	2.38E-01	1.00E00
polyol metabolic process (GO:0019751)	37	1	.27	+	3.70	2.38E-01	1.00E00
fatty acid derivative metabolic process (GO:1901568)	37	1	.27	+	3.70	2.38E-01	1.00E00
midgut development (GO:0007494)	37	1	.27	+	3.70	2.38E-01	1.00E00
lipid metabolic process (GO:0006629)	529	14	3.87	+	3.62	2.93E-05	1.08E-01
ribonucleotide catabolic process (GO:0009261)	38	1	.28	+	3.60	2.44E-01	1.00E00
purine ribonucleotide catabolic process (GO:0009154)	38	1	.28	+	3.60	2.44E-01	1.00E00
nucleoside metabolic process (GO:0009116)	38	1	.28	+	3.60	2.44E-01	1.00E00
organophosphate ester transport (GO:0015748)	38	1	.28	+	3.60	2.44E-01	1.00E00
cellular response to heat (GO:0034605)	38	1	.28	+	3.60	2.44E-01	1.00E00
amide metabolic process (GO:0043603)	152	4	1.11	+	3.60	2.52E-02	1.00E00
response to carbohydrate (GO:0009743)	38	1	.28	+	3.60	2.44E-01	1.00E00
proteinogenic amino acid catabolic process (GO:0170040)	39	1	.29	+	3.51	2.49E-01	1.00E00
mitochondrial respiratory chain complex I assembly (GO:0032981)	39	1	.29	+	3.51	2.49E-01	1.00E00
head involution (GO:0008258)	39	1	.29	+	3.51	2.49E-01	1.00E00
response to ketone (GO:1901654)	39	1	.29	+	3.51	2.49E-01	1.00E00
alpha-amino acid biosynthetic process (GO:1901607)	39	1	.29	+	3.51	2.49E-01	1.00E00
NADH dehydrogenase complex assembly (GO:0010257)	39	1	.29	+	3.51	2.49E-01	1.00E00
purine nucleotide catabolic process (GO:0006195)	40	1	.29	+	3.42	2.55E-01	1.00E00
dicarboxylic acid metabolic process (GO:0043648)	40	1	.29	+	3.42	2.55E-01	1.00E00
response to toxic substance (GO:0009636)	80	2	.58	+	3.42	1.16E-01	1.00E00
L-amino acid catabolic process (GO:0170035)	41	1	.30	+	3.34	2.60E-01	1.00E00
cellular response to insulin stimulus (GO:0032869)	42	1	.31	+	3.26	2.65E-01	1.00E00
response to radiation (GO:0009314)	172	4	1.26	+	3.18	3.73E-02	1.00E00
transition metal ion transport (GO:0000041)	43	1	.31	+	3.18	2.71E-01	1.00E00
amino acid biosynthetic process (GO:0008652)	43	1	.31	+	3.18	2.71E-01	1.00E00
negative regulation of cellular response to growth factor stimulus (GO:0090288)	43	1	.31	+	3.18	2.71E-01	1.00E00
negative regulation of synaptic assembly at neuromuscular junction (GO:0045886)	43	1	.31	+	3.18	2.71E-01	1.00E00
response to mechanical stimulus (GO:0009612)	43	1	.31	+	3.18	2.71E-01	1.00E00
lipid catabolic process (GO:0016042)	130	3	.95	+	3.16	6.98E-02	1.00E00
negative regulation of synapse assembly (GO:0051964)	44	1	.32	+	3.11	2.76E-01	1.00E00
neuroblast differentiation (GO:0014016)	44	1	.32	+	3.11	2.76E-01	1.00E00
cellular response to peptide hormone stimulus (GO:0071375)	44	1	.32	+	3.11	2.76E-01	1.00E00
membrane lipid biosynthetic process (GO:0046467)	88	2	.64	+	3.11	1.35E-01	1.00E00
negative regulation of neuromuscular junction development (GO:1904397)	44	1	.32	+	3.11	2.76E-01	1.00E00
NAD metabolic process (GO:0019674)	44	1	.32	+	3.11	2.76E-01	1.00E00
glycosyl compound metabolic process (GO:1901657)	44	1	.32	+	3.11	2.76E-01	1.00E00
alcohol biosynthetic process (GO:0046165)	44	1	.32	+	3.11	2.76E-01	1.00E00
alcohol metabolic process (GO:0006066)	89	2	.65	+	3.08	1.38E-01	1.00E00
response to metal ion (GO:0010038)	45	1	.33	+	3.04	2.81E-01	1.00E00
regulation of lipid storage (GO:0010883)	45	1	.33	+	3.04	2.81E-01	1.00E00
locomotion (GO:0040011)	135	3	.99	+	3.04	7.63E-02	1.00E00
negative regulation of cell junction assembly (GO:1901889)	45	1	.33	+	3.04	2.81E-01	1.00E00
small molecule catabolic process (GO:0044282)	180	4	1.32	+	3.04	4.29E-02	1.00E00
response to lipid (GO:0033993)	45	1	.33	+	3.04	2.81E-01	1.00E00
negative regulation of synapse organization (GO:1905809)	45	1	.33	+	3.04	2.81E-01	1.00E00
fatty acid metabolic process (GO:0006631)	138	3	1.01	+	2.97	8.03E-02	1.00E00
nucleotide catabolic process (GO:0009166)	46	1	.34	+	2.97	2.87E-01	1.00E00
intracellular chemical homeostasis (GO:0055082)	139	3	1.02	+	2.95	8.16E-02	1.00E00
response to insulin (GO:0032868)	47	1	.34	+	2.91	2.92E-01	1.00E00
fatty acid catabolic process (GO:0009062)	48	1	.35	+	2.85	2.97E-01	1.00E00
taxis (GO:0042330)	96	2	.70	+	2.85	1.56E-01	1.00E00
detoxification (GO:0098754)	48	1	.35	+	2.85	2.97E-01	1.00E00
carbohydrate metabolic process (GO:0005975)	240	5	1.75	+	2.85	3.13E-02	1.00E00
monocarboxylic acid metabolic process (GO:0032787)	194	4	1.42	+	2.82	5.38E-02	1.00E00
response to organic cyclic compound (GO:0014070)	97	2	.71	+	2.82	1.58E-01	1.00E00
mesoderm development (GO:0007498)	97	2	.71	+	2.82	1.58E-01	1.00E00
nucleoside phosphate catabolic process (GO:1901292)	49	1	.36	+	2.79	3.02E-01	1.00E00
glutathione metabolic process (GO:0006749)	49	1	.36	+	2.79	3.02E-01	1.00E00
pigment metabolic process (GO:0042440)	98	2	.72	+	2.79	1.61E-01	1.00E00
response to peptide hormone (GO:0043434)	49	1	.36	+	2.79	3.02E-01	1.00E00
cellular lipid metabolic process (GO:0044255)	393	8	2.87	+	2.79	8.07E-03	7.52E-01
embryonic hindgut morphogenesis (GO:0048619)	50	1	.37	+	2.74	3.07E-01	1.00E00
positive regulation of endocytosis (GO:0045807)	50	1	.37	+	2.74	3.07E-01	1.00E00
regulation of dendrite development (GO:0050773)	50	1	.37	+	2.74	3.07E-01	1.00E00
glycerolipid metabolic process (GO:0046486)	152	3	1.11	+	2.70	1.00E-01	1.00E00
glycerolipid biosynthetic process (GO:0045017)	102	2	.75	+	2.68	1.71E-01	1.00E00
membrane lipid metabolic process (GO:0006643)	103	2	.75	+	2.66	1.74E-01	1.00E00
regulation of BMP signaling pathway (GO:0030510)	52	1	.38	+	2.63	3.18E-01	1.00E00
alpha-amino acid catabolic process (GO:1901606)	53	1	.39	+	2.58	3.23E-01	1.00E00
purine-containing compound catabolic process (GO:0072523)	53	1	.39	+	2.58	3.23E-01	1.00E00
monocarboxylic acid catabolic process (GO:0072329)	54	1	.39	+	2.53	3.28E-01	1.00E00
chemical homeostasis (GO:0048878)	275	5	2.01	+	2.49	5.10E-02	1.00E00
digestive system development (GO:0055123)	112	2	.82	+	2.44	1.97E-01	1.00E00
nicotinamide nucleotide metabolic process (GO:0046496)	56	1	.41	+	2.44	3.37E-01	1.00E00
digestive tract development (GO:0048565)	112	2	.82	+	2.44	1.97E-01	1.00E00
maintenance of location (GO:0051235)	56	1	.41	+	2.44	3.37E-01	1.00E00
pyridine nucleotide metabolic process (GO:0019362)	56	1	.41	+	2.44	3.37E-01	1.00E00
organic hydroxy compound metabolic process (GO:1901615)	169	3	1.24	+	2.43	1.27E-01	1.00E00
regulation of synaptic assembly at neuromuscular junction (GO:0008582)	113	2	.83	+	2.42	2.00E-01	1.00E00
organic acid catabolic process (GO:0016054)	113	2	.83	+	2.42	2.00E-01	1.00E00
carboxylic acid catabolic process (GO:0046395)	113	2	.83	+	2.42	2.00E-01	1.00E00
inorganic ion homeostasis (GO:0098771)	113	2	.83	+	2.42	2.00E-01	1.00E00
acyl-CoA metabolic process (GO:0006637)	57	1	.42	+	2.40	3.42E-01	1.00E00
thioester metabolic process (GO:0035383)	57	1	.42	+	2.40	3.42E-01	1.00E00
hindgut morphogenesis (GO:0007442)	57	1	.42	+	2.40	3.42E-01	1.00E00
ATP metabolic process (GO:0046034)	58	1	.42	+	2.36	3.47E-01	1.00E00
positive regulation of cellular catabolic process (GO:0031331)	58	1	.42	+	2.36	3.47E-01	1.00E00
regulation of cellular response to stress (GO:0080135)	58	1	.42	+	2.36	3.47E-01	1.00E00
amino acid catabolic process (GO:0009063)	59	1	.43	+	2.32	3.52E-01	1.00E00
small molecule biosynthetic process (GO:0044283)	236	4	1.72	+	2.32	9.45E-02	1.00E00
amino acid transmembrane transport (GO:0003333)	59	1	.43	+	2.32	3.52E-01	1.00E00
hindgut development (GO:0061525)	60	1	.44	+	2.28	3.57E-01	1.00E00
regulation of neuromuscular junction development (GO:1904396)	120	2	.88	+	2.28	2.19E-01	1.00E00
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	60	1	.44	+	2.28	3.57E-01	1.00E00
regulation of synapse assembly (GO:0051963)	121	2	.88	+	2.26	2.21E-01	1.00E00
purine ribonucleoside triphosphate metabolic process (GO:0009205)	62	1	.45	+	2.21	3.66E-01	1.00E00
regulation of cell junction assembly (GO:1901888)	124	2	.91	+	2.21	2.29E-01	1.00E00
pyridine-containing compound metabolic process (GO:0072524)	62	1	.45	+	2.21	3.66E-01	1.00E00
small molecule metabolic process (GO:0044281)	753	12	5.50	+	2.18	1.21E-02	1.00E00
purine nucleoside triphosphate metabolic process (GO:0009144)	63	1	.46	+	2.17	3.71E-01	1.00E00
sulfur compound biosynthetic process (GO:0044272)	63	1	.46	+	2.17	3.71E-01	1.00E00
cellular catabolic process (GO:0044248)	316	5	2.31	+	2.17	8.18E-02	1.00E00
organic acid biosynthetic process (GO:0016053)	127	2	.93	+	2.15	2.38E-01	1.00E00
carboxylic acid biosynthetic process (GO:0046394)	127	2	.93	+	2.15	2.38E-01	1.00E00
ribonucleoside triphosphate metabolic process (GO:0009199)	65	1	.48	+	2.11	3.80E-01	1.00E00
positive regulation of apoptotic process (GO:0043065)	66	1	.48	+	2.07	3.84E-01	1.00E00
regulation of system process (GO:0044057)	66	1	.48	+	2.07	3.84E-01	1.00E00
purine nucleoside bisphosphate metabolic process (GO:0034032)	67	1	.49	+	2.04	3.89E-01	1.00E00
carbohydrate biosynthetic process (GO:0016051)	67	1	.49	+	2.04	3.89E-01	1.00E00
ribonucleoside bisphosphate metabolic process (GO:0033875)	67	1	.49	+	2.04	3.89E-01	1.00E00
nucleoside bisphosphate metabolic process (GO:0033865)	67	1	.49	+	2.04	3.89E-01	1.00E00
regulation of cellular response to growth factor stimulus (GO:0090287)	68	1	.50	+	2.01	3.93E-01	1.00E00
calcium ion transport (GO:0006816)	69	1	.50	+	1.98	3.98E-01	1.00E00
fatty acid biosynthetic process (GO:0006633)	69	1	.50	+	1.98	3.98E-01	1.00E00
imaginal disc-derived leg morphogenesis (GO:0007480)	69	1	.50	+	1.98	3.98E-01	1.00E00
cellular response to hormone stimulus (GO:0032870)	70	1	.51	+	1.95	4.02E-01	1.00E00
monoatomic cation homeostasis (GO:0055080)	140	2	1.02	+	1.95	2.73E-01	1.00E00
nucleoside triphosphate metabolic process (GO:0009141)	70	1	.51	+	1.95	4.02E-01	1.00E00
monoatomic ion homeostasis (GO:0050801)	141	2	1.03	+	1.94	2.75E-01	1.00E00
response to temperature stimulus (GO:0009266)	142	2	1.04	+	1.93	2.78E-01	1.00E00
olfactory behavior (GO:0042048)	71	1	.52	+	1.93	4.07E-01	1.00E00
transmembrane transport (GO:0055085)	783	11	5.72	+	1.92	3.03E-02	1.00E00
carboxylic acid metabolic process (GO:0019752)	356	5	2.60	+	1.92	1.90E-01	1.00E00
oxoacid metabolic process (GO:0043436)	357	5	2.61	+	1.92	1.91E-01	1.00E00
organic acid metabolic process (GO:0006082)	360	5	2.63	+	1.90	1.92E-01	1.00E00
amino acid transport (GO:0006865)	72	1	.53	+	1.90	4.11E-01	1.00E00
sodium ion transmembrane transport (GO:0035725)	72	1	.53	+	1.90	4.11E-01	1.00E00
mitochondrial respiratory chain complex assembly (GO:0033108)	72	1	.53	+	1.90	4.11E-01	1.00E00
secondary metabolic process (GO:0019748)	72	1	.53	+	1.90	4.11E-01	1.00E00
digestive tract morphogenesis (GO:0048546)	72	1	.53	+	1.90	4.11E-01	1.00E00
response to organonitrogen compound (GO:0010243)	144	2	1.05	+	1.90	2.84E-01	1.00E00
cellular response to organonitrogen compound (GO:0071417)	73	1	.53	+	1.87	4.15E-01	1.00E00
negative regulation of cell population proliferation (GO:0008285)	73	1	.53	+	1.87	4.15E-01	1.00E00
leg disc morphogenesis (GO:0007478)	73	1	.53	+	1.87	4.15E-01	1.00E00
cellular homeostasis (GO:0019725)	221	3	1.62	+	1.86	2.19E-01	1.00E00
regulation of endocytosis (GO:0030100)	74	1	.54	+	1.85	4.20E-01	1.00E00
response to hormone (GO:0009725)	77	1	.56	+	1.78	4.32E-01	1.00E00
monoatomic ion transport (GO:0006811)	463	6	3.38	+	1.77	1.55E-01	1.00E00
proteinogenic amino acid metabolic process (GO:0170039)	78	1	.57	+	1.75	4.37E-01	1.00E00
cellular response to nitrogen compound (GO:1901699)	78	1	.57	+	1.75	4.37E-01	1.00E00
metal ion transport (GO:0030001)	237	3	1.73	+	1.73	2.50E-01	1.00E00
response to nitrogen compound (GO:1901698)	158	2	1.15	+	1.73	3.21E-01	1.00E00
monocarboxylic acid biosynthetic process (GO:0072330)	79	1	.58	+	1.73	4.41E-01	1.00E00
sulfur compound metabolic process (GO:0006790)	160	2	1.17	+	1.71	3.27E-01	1.00E00
phospholipid metabolic process (GO:0006644)	162	2	1.18	+	1.69	3.32E-01	1.00E00
negative regulation of nervous system development (GO:0051961)	81	1	.59	+	1.69	4.49E-01	1.00E00
organic acid transport (GO:0015849)	81	1	.59	+	1.69	4.49E-01	1.00E00
carboxylic acid transport (GO:0046942)	81	1	.59	+	1.69	4.49E-01	1.00E00
organonitrogen compound metabolic process (GO:1901564)	2518	31	18.40	+	1.68	2.58E-03	5.93E-01
monoatomic cation transmembrane transport (GO:0098655)	244	3	1.78	+	1.68	2.64E-01	1.00E00
protein metabolic process (GO:0019538)	1955	24	14.29	+	1.68	9.16E-03	8.12E-01
lipid homeostasis (GO:0055088)	83	1	.61	+	1.65	4.57E-01	1.00E00
sensory perception of taste (GO:0050909)	83	1	.61	+	1.65	4.57E-01	1.00E00
regulation of synapse organization (GO:0050807)	166	2	1.21	+	1.65	3.43E-01	1.00E00
response to heat (GO:0009408)	85	1	.62	+	1.61	4.65E-01	1.00E00
detection of stimulus (GO:0051606)	257	3	1.88	+	1.60	4.39E-01	1.00E00
negative regulation of developmental growth (GO:0048640)	88	1	.64	+	1.56	4.77E-01	1.00E00
purine ribonucleotide metabolic process (GO:0009150)	177	2	1.29	+	1.55	3.72E-01	1.00E00
positive regulation of programmed cell death (GO:0043068)	91	1	.67	+	1.50	4.88E-01	1.00E00
primary metabolic process (GO:0044238)	3914	43	28.60	+	1.50	2.54E-03	6.03E-01
homeostatic process (GO:0042592)	457	5	3.34	+	1.50	3.90E-01	1.00E00
ribonucleotide metabolic process (GO:0009259)	185	2	1.35	+	1.48	3.93E-01	1.00E00
sodium ion transport (GO:0006814)	93	1	.68	+	1.47	4.96E-01	1.00E00
regulation of circadian rhythm (GO:0042752)	94	1	.69	+	1.46	4.99E-01	1.00E00
ribose phosphate metabolic process (GO:0019693)	189	2	1.38	+	1.45	4.03E-01	1.00E00
leg disc development (GO:0035218)	95	1	.69	+	1.44	5.03E-01	1.00E00
purine ribonucleotide biosynthetic process (GO:0009152)	96	1	.70	+	1.43	5.07E-01	1.00E00
membrane organization (GO:0061024)	290	3	2.12	+	1.42	4.73E-01	1.00E00
border follicle cell migration (GO:0007298)	97	1	.71	+	1.41	5.10E-01	1.00E00
nucleobase-containing small molecule metabolic process (GO:0055086)	291	3	2.13	+	1.41	4.74E-01	1.00E00
regulation of behavior (GO:0050795)	97	1	.71	+	1.41	5.10E-01	1.00E00
regulation of synapse structure or activity (GO:0050803)	197	2	1.44	+	1.39	6.57E-01	1.00E00
Unclassified (UNCLASSIFIED)	2502	25	18.28	+	1.37	9.10E-02	1.00E00
metabolic process (GO:0008152)	4423	44	32.32	+	1.36	1.80E-02	1.00E00
organonitrogen compound catabolic process (GO:1901565)	516	5	3.77	+	1.33	4.30E-01	1.00E00
ribonucleotide biosynthetic process (GO:0009260)	104	1	.76	+	1.32	5.35E-01	1.00E00
chemosensory behavior (GO:0007635)	104	1	.76	+	1.32	5.35E-01	1.00E00
dorsal closure (GO:0007391)	104	1	.76	+	1.32	5.35E-01	1.00E00
negative regulation of transcription by RNA polymerase II (GO:0000122)	209	2	1.53	+	1.31	6.67E-01	1.00E00
purine nucleotide metabolic process (GO:0006163)	210	2	1.53	+	1.30	6.67E-01	1.00E00
negative regulation of growth (GO:0045926)	105	1	.77	+	1.30	5.38E-01	1.00E00
organophosphate metabolic process (GO:0019637)	420	4	3.07	+	1.30	5.52E-01	1.00E00
response to abiotic stimulus (GO:0009628)	420	4	3.07	+	1.30	5.52E-01	1.00E00
positive regulation of intracellular signal transduction (GO:1902533)	211	2	1.54	+	1.30	6.68E-01	1.00E00
transport (GO:0006810)	1795	17	13.12	+	1.30	2.36E-01	1.00E00
monoatomic cation transport (GO:0006812)	318	3	2.32	+	1.29	5.06E-01	1.00E00
purine nucleotide biosynthetic process (GO:0006164)	106	1	.77	+	1.29	5.42E-01	1.00E00
ribose phosphate biosynthetic process (GO:0046390)	106	1	.77	+	1.29	5.42E-01	1.00E00
G protein-coupled receptor signaling pathway (GO:0007186)	215	2	1.57	+	1.27	6.72E-01	1.00E00
L-amino acid metabolic process (GO:0170033)	108	1	.79	+	1.27	5.49E-01	1.00E00
instar larval or pupal development (GO:0002165)	545	5	3.98	+	1.26	6.01E-01	1.00E00
neurotransmitter transport (GO:0006836)	109	1	.80	+	1.26	5.52E-01	1.00E00
carbohydrate derivative catabolic process (GO:1901136)	110	1	.80	+	1.24	5.55E-01	1.00E00
follicle cell of egg chamber migration (GO:0007297)	111	1	.81	+	1.23	5.58E-01	1.00E00
cellular modified amino acid metabolic process (GO:0006575)	111	1	.81	+	1.23	5.58E-01	1.00E00
establishment of localization (GO:0051234)	1914	17	13.99	+	1.22	3.85E-01	1.00E00
defense response to Gram-negative bacterium (GO:0050829)	114	1	.83	+	1.20	5.68E-01	1.00E00
import into cell (GO:0098657)	228	2	1.67	+	1.20	6.84E-01	1.00E00
nucleotide metabolic process (GO:0009117)	231	2	1.69	+	1.18	6.87E-01	1.00E00
monoatomic ion transmembrane transport (GO:0034220)	348	3	2.54	+	1.18	7.43E-01	1.00E00
inorganic cation transmembrane transport (GO:0098662)	232	2	1.70	+	1.18	6.88E-01	1.00E00
regulation of developmental growth (GO:0048638)	233	2	1.70	+	1.17	6.89E-01	1.00E00
detection of chemical stimulus involved in sensory perception (GO:0050907)	117	1	.86	+	1.17	5.78E-01	1.00E00
intracellular monoatomic cation homeostasis (GO:0030003)	117	1	.86	+	1.17	5.78E-01	1.00E00
embryonic morphogenesis (GO:0048598)	234	2	1.71	+	1.17	6.90E-01	1.00E00
purine-containing compound biosynthetic process (GO:0072522)	117	1	.86	+	1.17	5.78E-01	1.00E00
purine-containing compound metabolic process (GO:0072521)	234	2	1.71	+	1.17	6.90E-01	1.00E00
intracellular monoatomic ion homeostasis (GO:0006873)	118	1	.86	+	1.16	5.81E-01	1.00E00
regulation of neuron projection development (GO:0010975)	118	1	.86	+	1.16	5.81E-01	1.00E00
nucleoside phosphate metabolic process (GO:0006753)	237	2	1.73	+	1.15	6.93E-01	1.00E00
organic anion transport (GO:0015711)	120	1	.88	+	1.14	5.87E-01	1.00E00
morphogenesis of embryonic epithelium (GO:0016331)	121	1	.88	+	1.13	5.90E-01	1.00E00
memory (GO:0007613)	121	1	.88	+	1.13	5.90E-01	1.00E00
nucleotide biosynthetic process (GO:0009165)	122	1	.89	+	1.12	5.93E-01	1.00E00
nucleoside phosphate biosynthetic process (GO:1901293)	123	1	.90	+	1.11	5.96E-01	1.00E00
tube development (GO:0035295)	246	2	1.80	+	1.11	7.01E-01	1.00E00
regulation of vesicle-mediated transport (GO:0060627)	125	1	.91	+	1.09	6.02E-01	1.00E00
alpha-amino acid metabolic process (GO:1901605)	125	1	.91	+	1.09	6.02E-01	1.00E00
post-embryonic development (GO:0009791)	625	5	4.57	+	1.09	8.08E-01	1.00E00
localization (GO:0051179)	2152	17	15.73	+	1.08	6.81E-01	1.00E00
macromolecule metabolic process (GO:0043170)	3044	24	22.24	+	1.08	6.32E-01	1.00E00
cellular response to oxygen-containing compound (GO:1901701)	127	1	.93	+	1.08	6.08E-01	1.00E00
positive regulation of transport (GO:0051050)	128	1	.94	+	1.07	6.11E-01	1.00E00
regulation of cellular catabolic process (GO:0031329)	130	1	.95	+	1.05	6.16E-01	1.00E00
catabolic process (GO:0009056)	918	7	6.71	+	1.04	8.41E-01	1.00E00
cellular response to chemical stimulus (GO:0070887)	263	2	1.92	+	1.04	7.19E-01	1.00E00
cellular response to endogenous stimulus (GO:0071495)	133	1	.97	+	1.03	6.25E-01	1.00E00
dendrite morphogenesis (GO:0048813)	133	1	.97	+	1.03	6.25E-01	1.00E00
inorganic ion transmembrane transport (GO:0098660)	267	2	1.95	+	1.03	7.23E-01	1.00E00
organonitrogen compound biosynthetic process (GO:1901566)	815	6	5.96	+	1.01	1.00E00	1.00E00
dendrite development (GO:0016358)	140	1	1.02	-	.98	1.00E00	1.00E00
response to endogenous stimulus (GO:0009719)	140	1	1.02	-	.98	1.00E00	1.00E00
epithelial cell migration (GO:0010631)	142	1	1.04	-	.96	1.00E00	1.00E00
epithelium migration (GO:0090132)	143	1	1.05	-	.96	1.00E00	1.00E00
detection of stimulus involved in sensory perception (GO:0050906)	145	1	1.06	-	.94	1.00E00	1.00E00
macromolecule localization (GO:0033036)	879	6	6.42	-	.93	1.00E00	1.00E00
regulation of biological quality (GO:0065008)	886	6	6.47	-	.93	1.00E00	1.00E00
negative regulation of RNA biosynthetic process (GO:1902679)	297	2	2.17	-	.92	1.00E00	1.00E00
negative regulation of DNA-templated transcription (GO:0045892)	297	2	2.17	-	.92	1.00E00	1.00E00
biological_process (GO:0008150)	11319	76	82.72	-	.92	9.10E-02	1.00E00
regulation of cellular component biogenesis (GO:0044087)	298	2	2.18	-	.92	1.00E00	1.00E00
negative regulation of cellular component organization (GO:0051129)	150	1	1.10	-	.91	1.00E00	1.00E00
response to external stimulus (GO:0009605)	602	4	4.40	-	.91	1.00E00	1.00E00
tissue migration (GO:0090130)	151	1	1.10	-	.91	1.00E00	1.00E00
regulation of growth (GO:0040008)	306	2	2.24	-	.89	1.00E00	1.00E00
phosphorylation (GO:0016310)	155	1	1.13	-	.88	1.00E00	1.00E00
modulation of chemical synaptic transmission (GO:0050804)	155	1	1.13	-	.88	1.00E00	1.00E00
regulation of trans-synaptic signaling (GO:0099177)	155	1	1.13	-	.88	1.00E00	1.00E00
negative regulation of RNA metabolic process (GO:0051253)	311	2	2.27	-	.88	1.00E00	1.00E00
response to starvation (GO:0042594)	156	1	1.14	-	.88	1.00E00	1.00E00
ameboidal-type cell migration (GO:0001667)	158	1	1.15	-	.87	1.00E00	1.00E00
regulation of plasma membrane bounded cell projection organization (GO:0120035)	160	1	1.17	-	.86	1.00E00	1.00E00
phosphate-containing compound metabolic process (GO:0006796)	641	4	4.68	-	.85	1.00E00	1.00E00
